campus,title,dept,annual_ftr,ftr_basis,frac_fte,amt_from_gen_fund
Dearborn,ASST PROFESSOR,Dbn Col of Eng-Indust & Sys En,97397,8-Month,1,97397
Dearborn,LEO Lecturer I,Dbn CEHHS Education-OPERATIONS,41820,8-Month,0.37,15682.5
Dearborn,ASSOC PROFESSOR,Dbn Coll of Eng-Mechanical Eng,99415,8-Month,1,99415
Dearborn,LEO Lecturer I,Dbn CASL-Physical Sciences,41820,8-Month,0.69,28855.8
Dearborn,ASSOC PROFESSOR,Dbn CASL-Psychology,86433,8-Month,1,86433
Dearborn,ASSOC PROFESSOR,Dbn-Language Culture Communctn,76264.1,8-Month,1,76264.1
Dearborn,LEO Lecturer II,Dbn CASL-Natural Sciences,51347.64,8-Month,1,51347.64
Dearborn,LEO Lecturer II,Dbn CASL-Math & Statistics,52097.28,8-Month,1,52097.28
Dearborn,LEO Intermittent Lecturer,Dbn Col of Bus-Acctg & Finance,41000,8-Month,0.25,10250
Dearborn,ASSOC PROFESSOR,Dbn Col of Bus-Mgmt Studies,148263,8-Month,1,148263
Dearborn,ASSOC PROFESSOR,Dbn CASL-Math & Statistics,80335,8-Month,1,80335
Dearborn,LEO Lecturer II,Dbn CASL-Biological Sciences,50559,8-Month,1,50559
Dearborn,ASSOC PROFESSOR,"Dbn-Literature,Philosophy&Arts",76751,8-Month,1,76751
Dearborn,LEO Lecturer II,Dbn CEHHS Education-OPERATIONS,45583.9,8-Month,0.91,41789.04
Dearborn,ASST PROFESSOR,Dbn Coll of Eng-Mechanical Eng,101279,8-Month,1,101279
Dearborn,ASSOC PROFESSOR,Dbn Col of Eng-Indust & Sys En,108557,8-Month,1,108557
Dearborn,ASST PROFESSOR,Dbn Col of Bus-Acctg & Finance,137000,8-Month,1,137000
Dearborn,LEO Intermittent Lecturer,Dbn CASL-Criminal Justice,41820,8-Month,0.5,20910
Dearborn,PROFESSOR,Dbn Coll of Eng-Mechanical Eng,127513,8-Month,1,127513
Dearborn,LEO Lecturer II,Dbn CASL-Criminal Justice,45153.36,8-Month,0.5,22576.72
Dearborn,PROFESSOR EMERITUS/A,Dbn Col of Eng-Indust & Sys En,201298.42,12-Month,0.2,40259.68
Dearborn,PROFESSOR,Dbn CASL-Physical Sciences,93481,8-Month,1,93481
Dearborn,ASSOC PROFESSOR,Dbn Coll of Eng-Mechanical Eng,111584,8-Month,1,111584
Dearborn,PROFESSOR,Dbn Coll of Eng-Mechanical Eng,120287,8-Month,1,120287
Dearborn,ASST PROFESSOR,Dbn Col of Bus-Mgmt Studies,121224,8-Month,1,121224
Dearborn,LEO Lecturer I,Dbn Col of Eng-Indust & Sys En,41820,8-Month,0.75,31365
Dearborn,ASST PROFESSOR,Dbn Col of Bus-Mgmt Studies,121324,8-Month,1,121324
Dearborn,LEO Lecturer II,Dbn Col of Eng-Electric & Comp,53644.19,8-Month,0.33,17876.96
Dearborn,LEO Lecturer II,Dbn CASL-Natural Sciences,44217,8-Month,1,44217
Dearborn,LEO Lecturer II,Dbn Writing Center,43916.15,8-Month,1,43916.16
Dearborn,ASST PROFESSOR,Dbn Col of Bus-Acctg & Finance,137526,8-Month,1,137526
