campus,title,dept,annual_ftr,ftr_basis,frac_fte,amt_from_gen_fund
Ann Arbor,leo adjunct lecturer,CoE Ctr for Entrepreneurship,81333.34,8-Month,0.2,16277.52
Ann Arbor,professor,LSA Ecology & Evolutionary Bio,126000,9-Month,0.5,63000
Ann Arbor,professor,LSA UG: Residential College,126000,9-Month,0.5,63000
Ann Arbor,professor,Law School,270691,9-Month,1,110983.31
Ann Arbor,assoc professor,Psychiatry Department,160000,12-Month,0.5,8706.63
Ann Arbor,clinical professor,Industrial & Operations Engin,474000,12-Month,0.5,237000
Ann Arbor,research professor,Anesthesiology Department,200000,12-Month,0.5,0
Ann Arbor,professor,Law School,216054,9-Month,1,216054
Ann Arbor,professor,Ross School of Business,336600,9-Month,0.75,99086.63
Ann Arbor,professor,DENT Community Dentistry,142396.76,12-Month,1,142396.76
Ann Arbor,assoc professor,SOE-CSHPE,119956.98,9-Month,1,65976.34
Ann Arbor,asst professor,LSA Economics,164000,9-Month,1,164000
Ann Arbor,professor,LSA Mathematics,160840.59,9-Month,1,160840.59
Ann Arbor,leo lecturer i,CoE Ctr for Entrepreneurship,89603.08,8-Month,0.2,17719.28
Ann Arbor,clinical professor,Department of Radiology,200000,12-Month,1,0
Ann Arbor,leo lecturer ii,LSA Women's and Gender Studies,108648.98,8-Month,0.33,35773.6
Ann Arbor,professor,LSA Chemistry,145962,9-Month,1,43788.6
Ann Arbor,assoc professor,SOE-Educational Studies,121816.79,9-Month,1,121816.79
Ann Arbor,asst professor,LSA English Language & Lit.,74753,9-Month,1,74753
Ann Arbor,professor emeritus/a,Mary H Weiser Food Allergy Ctr,225000,12-Month,0.85,0
Ann Arbor,asst professor,Biomedical Engineering - MS,126390,12-Month,1,72345.64
Ann Arbor,assoc professor,LSA Philosophy,109785,9-Month,1,109785
Ann Arbor,professor emeritus/a,Int Med-Hematology/Oncology,180000,12-Month,1,0
Ann Arbor,professor,Ross School of Business,327500,9-Month,0.87,186724.13
Ann Arbor,asst professor,Epidemiology Department,95000,9-Month,1,14250
Ann Arbor,asst professor,Mechanical Engineering,101500,9-Month,1,91857.5
Ann Arbor,professor,Biostatistics Department,195500,9-Month,1,81773.74
Ann Arbor,asst professor,Biological Chemistry Dept,120756,12-Month,1,74868.72
Ann Arbor,clinical professor,Allergy Division,225000,12-Month,1,0
Ann Arbor,clinical professor,Pathology Department,192229.78,12-Month,1,0
Ann Arbor,professor,School of Education,325946.26,9-Month,1,211865.07
Ann Arbor,professor,LSA History,139740,9-Month,1,90831
Ann Arbor,professor,Radiation Oncology - Ann Arbor,217050,12-Month,1,0
Ann Arbor,assoc professor,COE EECS - ECE Division,125000,9-Month,1,112500
Ann Arbor,professor,LSA Statistics,150400,9-Month,1,150400
Ann Arbor,leo adjunct professor,Biostatistics Department,124339.22,8-Month,0.08,10265.68
Ann Arbor,research professor,Biostatistics Department,179060,12-Month,0.91,0
Ann Arbor,professor,Biological Chemistry Dept,266049,12-Month,1,154574.47
Ann Arbor,leo lecturer iii,Comp Med and Bioinformatics,110478.8,12-Month,0.15,16571.82
Ann Arbor,asst professor,EECS - CSE Division,121900,9-Month,1,121900
Ann Arbor,research associate professor,Mechanical Engineering,125994,12-Month,1,81190.53
Ann Arbor,assoc professor,Allergy Division,214137,12-Month,1,843.7
Ann Arbor,professor,LSA Linguistics,127750,9-Month,1,127750
Ann Arbor,professor emeritus/a,Cell and Developmental Biology,129249,12-Month,0.05,0
Ann Arbor,professor,Mechanical Engineering,207016,9-Month,1,103508
Ann Arbor,assoc professor,LSA Middle East Studies,93190,9-Month,1,93190
Ann Arbor,assoc professor,School of Social Work,128314.86,9-Month,1,128314.86
Ann Arbor,asst professor,LSA History of Art,76713,9-Month,0.5,38356.5
Ann Arbor,asst professor,LSA Mathematics,59476,9-Month,1,59476
Ann Arbor,adjunct clin asst professor,Law School,114666.67,8-Month,0.07,8503.36
Ann Arbor,leo lecturer i,School of Social Work,52544,8-Month,0.5,25976.8
Ann Arbor,professor,"Metabolism, Endo & Diabetes",212951.43,12-Month,0.96,0
Ann Arbor,professor,Pediatrics-Neonatal/Perinatal,261744,12-Month,1,0
Ann Arbor,assoc professor,Neurology Department,180000,12-Month,1,0
Ann Arbor,assoc professor,LSA Germanic Languages & Lit.,104508,9-Month,0.5,52254
Ann Arbor,asst professor,Int Med-Cardiology,192400,12-Month,1,44300.1
Ann Arbor,clinical professor,Division of Anatomical Science,225000,12-Month,0.75,166500.56
Ann Arbor,clinical professor,Emergency Medicine UM Adult,225000,12-Month,0.05,4500
Ann Arbor,assoc professor,Cell and Developmental Biology,139699.72,12-Month,0.5,34924.93
Ann Arbor,professor,LSA Mathematics,127488.46,9-Month,0.5,63744.23
Ann Arbor,clinical lecturer,Transplant Surgery (STX),87788,12-Month,1,0
